Title,Release Date,Anime Type,Episode Count,Genres,Summary
1000-nen Joou,"13.03.1982
				","('Movie',)",1 ep,"['post-apocalyptic', 'tragedy']","""Queen Millennia"" retells the story told in the 42-episode TV series.The planet La-Metal is drawing nearer to Earth than ever as time goes by. Yukino Yayoi the Millennial Queen, camouflaged as an assistant at the observatory, gets a sudden call from a new Millennial Queen, which turns out to be the announcement of a shift in generations. A dark look shades Yayoi's face because she still has things left to do. Her little sister shows around and tells her that La-Metal is planning to take possession of Earth. About that time, Amamori Hajime loses both his parents by an explosion, which causes him to end up at his uncle's place.Countless meteorites from La-Metal, now turned into blocks of flame, shower on Earth, driving people to panic. Hajime runs towards the mansion where Yukino resides in order to save her, but there he is ushered to the underground where tens of thousands of refugees are present; the place is a giant shelter built by the Millennial Queen several centuries ago. He is taught that this shelter can escape Earth with people and animals inside, just like the vessel depicted in the Bible. Earthquakes shake the earth and the sky, and Noah's ark finally makes its appearance.On the other hand, a large army sent from La-Metal attacks furiously. Yukino is perplexed why she has been told nothing about it. Just what might be the true intention of La-Metal? The force of Earth strikes back, and the war reaches its climax.
				"
1001 Nights,"30.04.1998
				","('Movie',)",1 ep,"['demon', 'fantasy', 'manga', 'nudity', 'romance', 'seinen']","* Based on Amano Yoshitaka's book of artwork.Presented in the form of a feverish love dream, 1001 Nights is the first performance of the ground-breaking ""Filmharmonic"" series, which presents new orchestral works by film composers in tandem with short films made by A-list directors. Nights is the series' only animated work, and plans originally called for the film to be completely computer animated.
				"
11 Eyes,"07.10.2009 - 23.12.2009
				","('TV Series',)",12 eps,"['action', 'angst', 'contemporary fantasy', 'ecchi', 'erotic game', 'fantasy', 'female student', 'seinen', 'super power', 'swordplay', 'visual novel']","* Based on the 11eyes — Tsumi to Batsu to Aganai no Shoujo adult PC game by developer Lass.The Red Night — it appears without warning. Real, yet unreal. A dark world which exists in an alternate dimension. The Fragments, boys and girls who have been dragged inside are being attacked by strange black knights. Why them? Just what will happen? Will an answer await them at the end of this nightmare? — from introSeven teen classmates are transported to another world magic where they must defeat six black knights in order to return home.
				"
11-piki no Neko,"19.07.1980
				","('Movie',)",1 ep,[],"A gang of eleven stray cats wreak havoc in a small town, costing them much trouble.They defend themselves by stating they were just 'hungry'.The cats hear of an urban legend about a scary, giant fish. They decide to take on the challenge to find and catch that fish, proving the citizens of the town that they're not all useless after all.The task is pretty tricky and the path they have to cross is stony and danger lurks everywhere.Will our little furry heroes be brave, confident and strong enough to master the challenge of challenges?
				"
11-piki no Neko to Ahoudori,"27.08.1986
				","('Movie',)",1 ep,[],"Eleven naughty cats on the run from the neighborhood police chief hear that a giant fish is nearby for the taking. They go on a hazardous quest find it, learning that they must work as a team to reach their goal.Source: The Anime Encyclopedia
"
12-sai.,"03.04.2014 - 01.12.2015
				","('OVA',)",12 eps,"['half-length episodes', 'manga', 'middle school', 'romance', 'school life', 'shoujo']","The story begins with Hanabi, a sixth-grade girl who is neither an adult nor a child. She deals with issues such as accidentally witnessing her homeroom teacher kissing, and worrying about experiencing physiological changes before her friends. The manga depicts a 12-year-old girl's innocent worries and first love.Source: ANNNote: Part of Shogakukan's Ciao magazine's Ciao Ciao TV! DVD series.
"
12-sai. Chicchana Mune no Tokimeki,"04.04.2016 - 20.06.2016
				","('TV Series',)",12 eps,"['coming of age', 'elementary school', 'manga', 'romance', 'school life', 'shoujo']","The story begins with Hanabi, a sixth-grade girl who is neither an adult nor a child. She deals with issues such as accidentally witnessing her homeroom teacher kissing, and worrying about experiencing physiological changes before her friends. The anime depicts a 12-year-old girl's innocent worries and first love.Source: ANN
"
12-sai. Chicchana Mune no Tokimeki (2016),"03.10.2016 - 19.12.2016
				","('TV Series',)",12 eps,"['manga', 'shoujo']","* Based on slice of life romance shoujo manga series written and illustrated by Maita Nao.
				"
15 Sonyeon Uju Pyoryugi,"27.07.1980
				","('Movie',)",1 ep,[],No summary available.
"15-sai, Kyou kara Dousei Hajimemasu.","08.06.2018 - 29.06.2018
				","('Web',)",30 eps,"['love polygon', 'short episodes']",No summary available.
16bit Sensation: Another Layer,"05.10.2023 - 28.12.2023
				","('TV Series',)",13 eps,"['daily life', 'fantasy', 'historical', 'magic', 'manga', 'seinen', 'time travel']","Akisato Konoha is an illustrator that loves beautiful girls and bishojo games. Her dream is to become a super-popular illustrator, so she is working hard at a bishojo game production company, but reality isn't that kind... With the golden age of social network games in full force, Konoha's company isn't doing well, and she works as a sub illustrator, spending her days painting the backs of random background characters. One day, the owner of a game shop gives her a classic bishojo game. With all her excitement over the golden age of bishojo games, she opens the package to ""Dokyusei,"" and is enveloped by a bright light. Konoha then realizes that she just traveled back in time! She ends up in the year 1992! It's the dawn of the bishojo game era! Konoha ends up working at a company called Alcohol Soft. Will she be able to think about, draw, and create all the beautiful girls she's ever wanted?!Source: CrunchyrollNote: The first two episodes received an early screening at a special event on October 1, 2023 at Shinjuku Wald 9 in Tokyo. The regular TV broadcast started on October 5, 2023.
"
18 If,"07.07.2017 - 29.09.2017
				","('TV Series',)",13 eps,['game'],"After going to sleep like normal, Tsukishiro Haruto wakes up to discover something unbelievable - he's stuck in dream world! Here, witches plague the dreamscape and are more than dreamy figments - they're the trapped souls of young women who've rejected reality and are afflicted by the ""Sleeping Beauty Syndrome."" As he searches for a way out, Haruto will face the witches and their terrifying powers.Source: crunchyroll
"
180 Byou de Kimi no Mimi o Shiawase ni Dekiruka?,"15.10.2021 - 31.12.2021
				","('TV Series',)",12 eps,"['new', 'short episodes']","The protagonist is ""you."" When your childhood friend girl Gekkou-chan hears that you are into ASMR, she buys a ""dummy head microphone"" and starts researching ASMR. Then there are Akimizu-chan, who wants to be friends with Gekkou, Gekkou's older sister and mom, and your twin younger sisters. The seven characters around you are drawn to the appeal of ASMR. Three minutes = 180 seconds in which you can experience realistic sounds, including ear scratching, breathing, voices, touching squeezes, ice, water, typing, and other household sounds.Source: Crunchyroll News
"
1989,"03.06.2009
				","('Music Video',)",1 ep,[],"Music video for song '1989' by the pillows from their 20th anniversary compilation album 'Rock stock & too smoking the pillows.'Source: MAL
"
2.43: Seiin Koukou Danshi Volley Bu,"08.01.2021 - 26.03.2021
				","('TV Series',)",12 eps,"['noitaminA', 'novel', 'sports', 'volleyball']","* Based on a sport light novel series written by Kabei Yukako and illustrated by Yamakawa Aiji.Haijima Kimichika leaves Tokyo behind and returns to his childhood home where he's reunited with an old friend, Kuroba Yuni. The two become an ace pair on the volleyball court but at the last tournament before graduation a fight causes the duo to split.Now reunited in high school, they are forced to mend their relationship in order to achieve their dreams of making it to the top.Source: funimation
"
2.5 Jigen no Ririsa,"05.07.2024 - 13.12.2024
				","('TV Series',)",24 eps,"['ecchi', 'manga']","* Based on a romantic cosplay comedy manga by Hashimoto Yuu.""I have no interest in real girls!"" So claims Okumura, the president of the school's manga club. He's your typical otaku, obsessed with a sexy (fictional) 2D manga character known as Liliel. Then the new school year starts, and a (real!) 3D girl named Ririsa whose passion is cosplay joins the club. Ririsa convinces Okumura to become her photographer–and guess who her favorite manga character is? Not only that, but Ririsa is into modeling the fetishy stuff! The boundaries between 2D and 3D start to blur as this hot-blooded romantic comedy unfolds.Source: Seven Seas EntertainmentNote: The first episode received an early screening on June 28, 2024 in Madrid and on June 29, 2024 in Barcelona. Additionally, episodes 8 and 9 received an early screening at a special event on June 29, 2024 at Iino Hall in Tokyo. Further, episodes 2 and 3 received an early screening on July 11, 2024 at Japan Expo in Paris. The regular TV broadcast started on July 5, 2024.
"
2.5 Jigen no Ririsa 2,"?
				","('TV Series\n\t\t\t\t',)",TV Series,[],"* Based on a romantic cosplay comedy manga by Hashimoto Yuu.
				"
20-dai no Heya Hen,"08.01.2015
				","('Web',)",1 ep,[],"The ""20-dai no Heya-hen"" (Rooms for Twentysomethings) commercial shows how the MyNavi Chintai service lets young people find living spaces that fit their different lifestyles. The characters profiled include a man living alone who searched for a place ""near the station,"" a woman with a dog who searched for an apartment that ""allows pets,"" a couple who searched for a place ""for two,"" and a woman searching for a room on the service.Source: ANN
"
2002-nen Harmoni Ondo,"24.04.2002
				","('Music Video',)",1 ep,[],"A music video for the song by Mika Shinno that was featured on NHK's Minna no Uta program.
				"
2005-nen Uchuu no Tabi,"31.12.2005
				","('Other',)",1 ep,"['American derived', 'movie', 'new', 'short movie']","Experimental short film by Michio Mihara.
				"
2010,"22.09.2010
				","('Music Video',)",1 ep,[],"A music video for The Telephones' song ""2010"".
				"
2020 Nyeon Ujuui Wonder Kiddy,"06.10.1989 - 29.12.1989
				","('TV Series',)",13 eps,[],No summary available.
21 Emon,"02.05.1991 - 26.03.1992
				","('TV Series',)",39 eps,[],No summary available.
21 Emon: Sora Ike! Hadashi no Princess,"07.03.1992
				","('Movie',)",1 ep,[],No summary available.
21 Emon: Uchuu e Irasshai!,"01.08.1981
				","('Movie',)",1 ep,[],"In the 21st century, would-be space pilot Emon discovers that he is the sole heir to the dilapidated Tsuzureya Inn in Tokyo. Realising that Emon can be persuaded, the owners of the Galaxy Hotel chain invite him on a space holiday to get him away from his inheritance.Source: The Anime Encyclopedia
"
21 Seiki Manga Hajimete Monogatari,"30.03.2001
				","('TV Special',)",1 ep,"['science fiction', 'time travel']",No summary available.
2112-nen Doraemon Tanjou,"04.03.1995
				","('Movie',)",1 ep,"['comedy', 'mecha', 'science fiction']","The date is September 3, 2112. Doraemon, a robot cat with initially a yellow body in addition to a much higher voice and ears, is manufactured at the Matsushiba Robot Factory. During Doraemon's manufacturing process, there are two terrorists escaping from the Japanese police by time warp. This causes the electricity supply of the Robot Factory to short circuit. While Doraemon is still on the assembly line, a burst of electricity hits him and he falls into the industrial garbage. Luckily, Noramyaako, a female robotic cat, saves him from the blast furnace. Of course Doraemon immediately falls for Noramyaako's charms.When Doraemon begins his training together with all the other robotic cats from the same production line, he keeps failing to pass the various tests, apparently due to the accident in production. But his ""maker"" has a kind heart and sends him to a class of unusual robots, where Doraemon meets Noramyaako again...Source: WikipediaNote: The movie can be seen as a prequel to the entire series, it shows the life of Doraemon before travelling to the 20th century.
"
